EC-Lab ASCII FILE
Nb header lines : 61                          

Cyclic Voltammetry

Run on channel : 1 (SN 1153)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 12/20/2024 11:49:19.340
Technique started on : 12/20/2024 11:49:19.340
Loaded Setting File :  C:\Users\lab10\Desktop\Andraž Stariha\T20-6_ED-PP-Fe-1-1.5V-50-10-60m\6 CV for ECSA.mps
Saved on :
	File : 4 CV for ECSA_01_CV_C01.mpr
	Directory : C:\Users\lab10\Desktop\Andraž Stariha\IMT16-Fe-3_ED-PP-Co-1-1.5V-50-10-60m\
	Host : 178.172.20.122
Device : SP-200 (SN 0067)
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.52 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Volume (V) : 0,001 cm³
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,150              
vs.                 Ref                 
dE/dt               1000,000            
dE/dt unit          mV/s                
E1 (V)              0,050               
vs.                 Ei                  
Step percent        85                  
N                   17                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             10 mA               
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0,050              
vs.                 Ei                  
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ei                  

Ewe/V	<I>/mA	time/s	cycle number	
-1,5014201E-001	-1,643052697181702E+000	0,000000000000000E+000	1,000000000000000E+000
-1,4815824E-001	-7,086057302767568E-001	1,799999954528175E-003	1,000000000000000E+000
-1,4471562E-001	-3,348147239084938E-001	5,199999868636951E-003	1,000000000000000E+000
-1,4132057E-001	-2,104021236427798E-001	8,599999782745726E-003	1,000000000000000E+000
-1,3791367E-001	-1,380783745617005E-001	1,199999969685450E-002	1,000000000000000E+000
-1,3451548E-001	-8,748690457696240E-002	1,539999961096328E-002	1,000000000000000E+000
-1,3110478E-001	-4,850849288050052E-002	1,879999952507205E-002	1,000000000000000E+000
-1,2770575E-001	-1,706467720805438E-002	2,219999943918083E-002	1,000000000000000E+000
-1,2432966E-001	1,027445246997874E-002	2,559999935328960E-002	1,000000000000000E+000
-1,2094952E-001	3,382720867261918E-002	2,899999926739838E-002	1,000000000000000E+000
-1,1753821E-001	5,532941184537782E-002	3,239999918150716E-002	1,000000000000000E+000
-1,1413335E-001	7,526389697795843E-002	3,579999909561593E-002	1,000000000000000E+000
-1,1073720E-001	9,374272750756107E-002	3,919999900972471E-002	1,000000000000000E+000
-1,0733017E-001	1,116242685820910E-001	4,259999892383348E-002	1,000000000000000E+000
-1,0391875E-001	1,282194432369583E-001	4,599999883794226E-002	1,000000000000000E+000
-1,0112976E-001	1,418487328497586E-001	4,879999876720831E-002	1,000000000000000E+000
-9,9925622E-002	1,471286714076996E-001	4,999999873689376E-002	1,000000000000000E+000
-9,9753641E-002	1,493795067071915E-001	5,019999873184133E-002	1,000000000000000E+000
-9,9933267E-002	1,115730181336403E-001	5,039999872678891E-002	1,000000000000000E+000
-1,0170501E-001	3,711405423752734E-002	5,219999868131708E-002	1,000000000000000E+000
