EC-Lab ASCII FILE
Nb header lines : 61                          

Cyclic Voltammetry

Run on channel : 1 (SN 1153)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 12/20/2024 11:49:19.340
Technique started on : 12/20/2024 11:49:20.042
Loaded Setting File :  C:\Users\lab10\Desktop\Andraž Stariha\T20-6_ED-PP-Fe-1-1.5V-50-10-60m\6 CV for ECSA.mps
Saved on :
	File : 4 CV for ECSA_02_CV_C01.mpr
	Directory : C:\Users\lab10\Desktop\Andraž Stariha\IMT16-Fe-3_ED-PP-Co-1-1.5V-50-10-60m\
	Host : 178.172.20.122
Device : SP-200 (SN 0067)
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.52 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Volume (V) : 0,001 cm³
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,150              
vs.                 Ref                 
dE/dt               500,000             
dE/dt unit          mV/s                
E1 (V)              0,050               
vs.                 Ei                  
Step percent        85                  
N                   17                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             10 mA               
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0,050              
vs.                 Ei                  
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ei                  

Ewe/V	<I>/mA	time/s	cycle number	
-1,4989740E-001	-8,009178936481476E-002	7,021999822609359E-001	1,000000000000000E+000
-1,4901052E-001	-2,378143435424818E-002	7,039999822154641E-001	1,000000000000000E+000
-1,4731838E-001	6,246067815674813E-003	7,073999821295729E-001	1,000000000000000E+000
-1,4561284E-001	2,109827535059600E-002	7,107999820436817E-001	1,000000000000000E+000
-1,4391136E-001	3,200197605224273E-002	7,141999819577904E-001	1,000000000000000E+000
-1,4221859E-001	4,036513702976659E-002	7,175999818718992E-001	1,000000000000000E+000
-1,4052224E-001	4,843144324559057E-002	7,209999817860080E-001	1,000000000000000E+000
-1,3881052E-001	5,513985395464271E-002	7,243999817001168E-001	1,000000000000000E+000
-1,3709769E-001	6,174574049737196E-002	7,277999816142255E-001	1,000000000000000E+000
-1,3540600E-001	6,746582756431979E-002	7,311999815283343E-001	1,000000000000000E+000
-1,3369435E-001	7,306432076893543E-002	7,345999814424431E-001	1,000000000000000E+000
-1,3199683E-001	7,819189257634218E-002	7,379999813565519E-001	1,000000000000000E+000
-1,3029835E-001	8,342677088421646E-002	7,413999812706606E-001	1,000000000000000E+000
-1,2862100E-001	8,856746334549803E-002	7,447999811847694E-001	1,000000000000000E+000
-1,2691282E-001	9,313471252426098E-002	7,481999810988782E-001	1,000000000000000E+000
-1,2522879E-001	9,787601871448770E-002	7,515999810129870E-001	1,000000000000000E+000
-1,2352648E-001	1,026578647952192E-001	7,549999809270957E-001	1,000000000000000E+000
-1,2182882E-001	1,072871096448584E-001	7,583999808412045E-001	1,000000000000000E+000
-1,2014178E-001	1,115885039262141E-001	7,617999807553133E-001	1,000000000000000E+000
-1,1843470E-001	1,162880893443805E-001	7,651999806694221E-001	1,000000000000000E+000
-1,1673466E-001	1,205584892104530E-001	7,685999805835309E-001	1,000000000000000E+000
-1,1503735E-001	1,249004187930041E-001	7,719999804976396E-001	1,000000000000000E+000
-1,1333827E-001	1,292125288237006E-001	7,753999804117484E-001	1,000000000000000E+000
-1,1162867E-001	1,338358209950457E-001	7,787999803258572E-001	1,000000000000000E+000
-1,0992659E-001	1,378594332663853E-001	7,821999802399660E-001	1,000000000000000E+000
-1,0821424E-001	1,423277380972652E-001	7,855999801540747E-001	1,000000000000000E+000
-1,0652448E-001	1,466482099049244E-001	7,889999800681835E-001	1,000000000000000E+000
-1,0482813E-001	1,508339611909835E-001	7,923999799822923E-001	1,000000000000000E+000
-1,0313036E-001	1,551639648314449E-001	7,957999798964011E-001	1,000000000000000E+000
-1,0142553E-001	1,594689334197029E-001	7,991999798105098E-001	1,000000000000000E+000
-1,0027918E-001	1,624687193077987E-001	8,014999797524069E-001	1,000000000000000E+000
-9,9914156E-002	1,635331064462662E-001	8,021999797347235E-001	1,000000000000000E+000
-9,9849179E-002	1,642579436302185E-001	8,023999797296710E-001	1,000000000000000E+000
-9,9898867E-002	1,453737765550613E-001	8,025999797246186E-001	1,000000000000000E+000
-1,0081498E-001	1,053092779511646E-001	8,043999796791468E-001	1,000000000000000E+000
-1,0250594E-001	6,787355850883625E-002	8,077999795932556E-001	1,000000000000000E+000
-1,0421591E-001	4,366152236912069E-002	8,111999795073643E-001	1,000000000000000E+000
-1,0591380E-001	2,540920721889967E-002	8,145999794214731E-001	1,000000000000000E+000
-1,0760847E-001	1,007058875967462E-002	8,179999793355819E-001	1,000000000000000E+000
-1,0931640E-001	-3,055339892256372E-003	8,213999792496907E-001	1,000000000000000E+000
-1,1102576E-001	-1,454440336493690E-002	8,247999791637994E-001	1,000000000000000E+000
-1,1272437E-001	-2,479240668912996E-002	8,281999790779082E-001	1,000000000000000E+000
-1,1441891E-001	-3,381603682646517E-002	8,315999789920170E-001	1,000000000000000E+000
