Ewe/V	<I>/mA	time/s	cycle number	
-1,4991269E-001	2,058564126491547E-002	1,331459966364491E+001	1,000000000000000E+000
-1,4902450E-001	9,975512614801167E-003	1,333259966319019E+001	1,000000000000000E+000
-1,4732708E-001	9,411163004188039E-003	1,336659966233128E+001	1,000000000000000E+000
-1,4561081E-001	1,055998073707097E-002	1,340059966147237E+001	1,000000000000000E+000
-1,4390458E-001	1,187093412863760E-002	1,343459966061346E+001	1,000000000000000E+000
-1,4219795E-001	1,304895904650043E-002	1,346859965975455E+001	1,000000000000000E+000
-1,4050125E-001	1,418272439968860E-002	1,350259965889563E+001	1,000000000000000E+000
-1,3880825E-001	1,537162853719565E-002	1,353659965803672E+001	1,000000000000000E+000
-1,3710807E-001	1,650822427654930E-002	1,357059965717781E+001	1,000000000000000E+000
-1,3540302E-001	1,771024172558106E-002	1,360459965631890E+001	1,000000000000000E+000
-1,3369998E-001	1,892298984421359E-002	1,363859965545998E+001	1,000000000000000E+000
-1,3200316E-001	2,003380731457588E-002	1,367259965460107E+001	1,000000000000000E+000
-1,3030265E-001	2,112361118179268E-002	1,370659965374216E+001	1,000000000000000E+000
-1,2861633E-001	2,221430824829443E-002	1,374059965288325E+001	1,000000000000000E+000
-1,2689935E-001	2,340261661356630E-002	1,377459965202434E+001	1,000000000000000E+000
-1,2522987E-001	2,454115119689970E-002	1,380859965116542E+001	1,000000000000000E+000
-1,2353281E-001	2,571142690521822E-002	1,384259965030651E+001	1,000000000000000E+000
-1,2183408E-001	2,682790536073312E-002	1,387659964944760E+001	1,000000000000000E+000
-1,2013151E-001	2,796569517340691E-002	1,391059964858869E+001	1,000000000000000E+000
-1,1842838E-001	2,918351031075880E-002	1,394459964772977E+001	1,000000000000000E+000
-1,1673667E-001	3,038835801271500E-002	1,397859964687086E+001	1,000000000000000E+000
-1,1503483E-001	3,133107561188808E-002	1,401259964601195E+001	1,000000000000000E+000
-1,1332837E-001	3,259017318939570E-002	1,404649964515556E+001	1,000000000000000E+000
-1,1162006E-001	3,377981741323310E-002	1,408039964429918E+001	1,000000000000000E+000
-1,0992874E-001	3,489182653356715E-002	1,411439964344027E+001	1,000000000000000E+000
-1,0822188E-001	3,600249476221534E-002	1,414839964258135E+001	1,000000000000000E+000
-1,0652292E-001	3,710868959933607E-002	1,418239964172244E+001	1,000000000000000E+000
-1,0482157E-001	3,831994882784784E-002	1,421639964086353E+001	1,000000000000000E+000
-1,0311377E-001	3,944328356556076E-002	1,425039964000462E+001	1,000000000000000E+000
-1,0142732E-001	4,058047435864875E-002	1,428439963914570E+001	1,000000000000000E+000
-1,0022821E-001	4,144922910685034E-002	1,430839963853941E+001	1,000000000000000E+000
-9,9837720E-002	4,420039430260658E-002	1,431499963837268E+001	1,000000000000000E+000
-1,0073006E-001	2,722162306781678E-002	1,433299963791796E+001	1,000000000000000E+000
-1,0241924E-001	1,572659987232335E-002	1,436699963705905E+001	1,000000000000000E+000
-1,0413170E-001	8,855904130769005E-003	1,440099963620014E+001	1,000000000000000E+000
-1,0582053E-001	3,631165018020972E-003	1,443499963534123E+001	1,000000000000000E+000
-1,0753202E-001	-6,098752647645273E-004	1,446899963448232E+001	1,000000000000000E+000
-1,0922432E-001	-4,248415981692219E-003	1,450299963362340E+001	1,000000000000000E+000
-1,1091720E-001	-7,321564996345786E-003	1,453699963276449E+001	1,000000000000000E+000
-1,1261779E-001	-1,016669695595904E-002	1,457089963190811E+001	1,000000000000000E+000
-1,1433351E-001	-1,272066189494578E-002	1,460479963105172E+001	1,000000000000000E+000
-1,1602247E-001	-1,492903144253432E-002	1,463879963019281E+001	1,000000000000000E+000
-1,1773790E-001	-1,702518805905126E-002	1,467279962933389E+001	1,000000000000000E+000
-1,1943065E-001	-1,888812342531306E-002	1,470679962847498E+001	1,000000000000000E+000
-1,2110289E-001	-2,071245941169755E-002	1,474079962761607E+001	1,000000000000000E+000
-1,2282047E-001	-2,243143756550114E-002	1,477479962675716E+001	1,000000000000000E+000
-1,2451541E-001	-2,397292881960314E-002	1,480879962589825E+001	1,000000000000000E+000
-1,2620278E-001	-2,542247379642493E-002	1,484279962503933E+001	1,000000000000000E+000
-1,2790653E-001	-2,680048787988198E-002	1,487679962418042E+001	1,000000000000000E+000
