C:\Users\user\Desktop\Luka Suhadolnik - Arminov BioL\5. december 2022\05-12-2022\1 M KOH Titripur\RDE10 - HEA-N-AO 50V 5m 10.11.22 FIB STEM\teflonski holder\3 OER O2 2 mVs 5000 RPM_02_CV_C01.mpr
Ewe/V vs. SCE	<I>/mA
1,300980210304260E+000	-1,369383380273059E-001
1,302676558494568E+000	-3,273071977366748E-002
1,304357767105103E+000	2,571335479268305E-002
1,306061744689941E+000	4,494589743069988E-002
1,307762742042542E+000	7,143408743201274E-002
1,309456467628479E+000	8,518880051270128E-002
1,311146974563599E+000	9,199291605748661E-002
1,312841653823853E+000	1,001565793085608E-001
1,314549565315247E+000	1,198717115490673E-001
1,316262364387512E+000	1,279977113256413E-001
1,317966341972351E+000	1,278395766742380E-001
1,319654822349548E+000	1,194732961337834E-001
1,321356654167175E+000	1,296484201601129E-001
1,323035240173340E+000	1,310359851615343E-001
1,324720740318298E+000	1,382149154000031E-001
1,326445579528809E+000	1,526773617942920E-001
1,328112006187439E+000	1,497660988161984E-001
1,329821109771729E+000	1,468824778057265E-001
1,331519961357117E+000	1,690475107737259E-001
1,333238124847412E+000	1,585275020291776E-001
1,334941148757935E+000	1,693549246358490E-001
1,336664319038391E+000	1,639812831937744E-001
1,338351249694824E+000	1,799984037954268E-001
1,340054392814636E+000	1,810167195668826E-001
1,341753721237183E+000	1,787284506264974E-001
1,343442916870117E+000	1,943688321623718E-001
1,345149755477905E+000	1,905341369747475E-001
1,346851706504822E+000	2,000856975359719E-001
1,348543763160706E+000	2,256281165872460E-001
1,350251317024231E+000	2,109515572473755E-001
1,351966381072998E+000	2,200387654065392E-001
1,353663086891174E+000	2,029167022816338E-001
1,355367660522461E+000	2,137944412006136E-001
1,357056975364685E+000	2,301157350790288E-001
1,358764529228210E+000	2,213295320090989E-001
1,360456347465515E+000	2,326394700132184E-001
1,362121462821960E+000	2,236692218728624E-001
1,363821268081665E+000	2,444084369782029E-001
1,365532517433167E+000	2,410756840815549E-001
1,367218136787415E+000	2,472626858610322E-001
1,368925452232361E+000	2,406604886623869E-001
1,370632767677307E+000	2,516070346400201E-001
1,372346401214600E+000	2,476203289584235E-001
1,374058246612549E+000	2,591108365920617E-001
1,375753998756409E+000	2,444128716501672E-001
1,377441048622131E+000	2,418106726485920E-001
1,379137635231018E+000	2,474609852226521E-001
1,380839943885803E+000	2,368202595991051E-001
1,382546544075012E+000	2,356384546715652E-001
1,384248018264771E+000	2,255088357613182E-001
1,385923266410828E+000	2,377671760036034E-001
1,387621283531189E+000	2,266530917018157E-001
1,389309763908386E+000	2,213817635500903E-001
1,391036748886108E+000	2,224168404655540E-001
1,392725825309753E+000	2,257561281517835E-001
1,394449353218079E+000	2,168114123667539E-001
1,396147727966309E+000	2,270380492984043E-001
1,397868156433105E+000	2,111435463245148E-001
